time,package,uid,immediate,schedulingon
1527460265976,msnl.unist.smartpushscheduler,10310,0,1
1527460266014,msnl.unist.smartpushscheduler,10310,0,1
1527460267937,msnl.unist.smartpushscheduler,10310,0,1
1527460267972,msnl.unist.smartpushscheduler,10310,0,1
1527460267986,msnl.unist.smartpushscheduler,10310,0,1
1527460267990,msnl.unist.smartpushscheduler,10310,0,1
1527460308721,msnl.unist.smartpushscheduler,10310,0,1
1527460308754,msnl.unist.smartpushscheduler,10310,0,1
1527460503393,msnl.unist.smartpushscheduler,10310,0,1
1527460511019,msnl.unist.smartpushscheduler,10310,0,1
1527460511021,msnl.unist.smartpushscheduler,10310,0,1
1527460517401,msnl.unist.smartpushscheduler,10310,0,1
1527460517419,msnl.unist.smartpushscheduler,10310,0,1
1527460801808,msnl.unist.smartpushscheduler,10310,0,1
1527460808635,msnl.unist.smartpushscheduler,10310,0,1
1527460808657,msnl.unist.smartpushscheduler,10310,0,1
1527460808756,msnl.unist.smartpushscheduler,10310,0,1
1527460808759,msnl.unist.smartpushscheduler,10310,0,1
1527460808766,msnl.unist.smartpushscheduler,10310,0,1
1527460808768,msnl.unist.smartpushscheduler,10310,0,1
1527460808770,msnl.unist.smartpushscheduler,10310,0,1
1527460808796,msnl.unist.smartpushscheduler,10310,0,1
1527460808799,msnl.unist.smartpushscheduler,10310,0,1
1527460808823,msnl.unist.smartpushscheduler,10310,0,1
1527460808827,msnl.unist.smartpushscheduler,10310,0,1
1527460811284,msnl.unist.smartpushscheduler,10310,0,1
1527460811444,msnl.unist.smartpushscheduler,10310,0,1
1527460842435,msnl.unist.smartpushscheduler,10310,0,1
1527460842443,msnl.unist.smartpushscheduler,10310,0,1
1527460843059,msnl.unist.smartpushscheduler,10310,0,1
1527460843198,msnl.unist.smartpushscheduler,10310,0,1
1527460843216,msnl.unist.smartpushscheduler,10310,0,1
1527460852881,msnl.unist.smartpushscheduler,10310,0,1
1527460853247,msnl.unist.smartpushscheduler,10310,0,1
1527460854867,msnl.unist.smartpushscheduler,10310,0,1
1527460855027,msnl.unist.smartpushscheduler,10310,0,1
1527460959292,msnl.unist.smartpushscheduler,10310,0,1
1527460959314,msnl.unist.smartpushscheduler,10310,0,1
1527461479293,msnl.unist.smartpushscheduler,10310,0,1
1527461479760,msnl.unist.smartpushscheduler,10310,0,1
1527461479779,msnl.unist.smartpushscheduler,10310,0,1
1527461480385,msnl.unist.smartpushscheduler,10310,0,1
1527461486157,msnl.unist.smartpushscheduler,10310,0,1
1527461636293,msnl.unist.smartpushscheduler,10310,0,1
1527461636315,msnl.unist.smartpushscheduler,10310,0,1
1527461749855,msnl.unist.smartpushscheduler,10310,0,1
1527461749887,msnl.unist.smartpushscheduler,10310,0,1
1527461756304,msnl.unist.smartpushscheduler,10310,0,1
1527462001165,com.sec.android.app.clockpackage,10176,1,0
1527462002262,msnl.unist.smartpushscheduler,10310,0,0
1527462004568,msnl.unist.smartpushscheduler,10310,0,0
1527462004571,msnl.unist.smartpushscheduler,10310,0,0
1527462008018,msnl.unist.smartpushscheduler,10310,0,0
1527462008055,msnl.unist.smartpushscheduler,10310,0,0
1527462008067,msnl.unist.smartpushscheduler,10310,0,0
1527462008070,msnl.unist.smartpushscheduler,10310,0,0
1527462009603,msnl.unist.smartpushscheduler,10310,0,0
1527462009610,msnl.unist.smartpushscheduler,10310,0,0
1527462015882,msnl.unist.smartpushscheduler,10310,0,0
1527462015894,msnl.unist.smartpushscheduler,10310,0,0
1527462126938,msnl.unist.smartpushscheduler,10310,0,0
1527462127089,msnl.unist.smartpushscheduler,10310,0,0
1527462127633,msnl.unist.smartpushscheduler,10310,0,0
1527462127639,msnl.unist.smartpushscheduler,10310,0,0
1527462127800,msnl.unist.smartpushscheduler,10310,0,0
1527462128167,msnl.unist.smartpushscheduler,10310,0,0
1527462128201,msnl.unist.smartpushscheduler,10310,0,0
1527462128369,msnl.unist.smartpushscheduler,10310,0,0
1527462129627,msnl.unist.smartpushscheduler,10310,0,0
1527462129661,msnl.unist.smartpushscheduler,10310,0,0
1527462129989,msnl.unist.smartpushscheduler,10310,0,0
1527462130018,msnl.unist.smartpushscheduler,10310,0,0
1527462132867,msnl.unist.smartpushscheduler,10310,0,0
1527462132885,msnl.unist.smartpushscheduler,10310,0,0
1527462155316,msnl.unist.smartpushscheduler,10310,0,0
1527462176327,msnl.unist.smartpushscheduler,10310,0,0
1527462176342,msnl.unist.smartpushscheduler,10310,0,0
1527462176349,msnl.unist.smartpushscheduler,10310,0,0
1527462181287,msnl.unist.smartpushscheduler,10310,0,0
1527462181316,msnl.unist.smartpushscheduler,10310,0,0
1527462181432,msnl.unist.smartpushscheduler,10310,0,0
1527462181445,msnl.unist.smartpushscheduler,10310,0,0
1527462186103,msnl.unist.smartpushscheduler,10310,0,0
1527462187108,msnl.unist.smartpushscheduler,10310,0,0
1527462187195,msnl.unist.smartpushscheduler,10310,0,0
1527462189273,msnl.unist.smartpushscheduler,10310,0,0
1527462189341,msnl.unist.smartpushscheduler,10310,0,0
1527462189377,msnl.unist.smartpushscheduler,10310,0,0
1527462189385,msnl.unist.smartpushscheduler,10310,0,0
1527462190335,msnl.unist.smartpushscheduler,10310,0,0
1527462190438,msnl.unist.smartpushscheduler,10310,0,0
1527462190457,msnl.unist.smartpushscheduler,10310,0,0
1527462190471,msnl.unist.smartpushscheduler,10310,0,0
1527462191528,msnl.unist.smartpushscheduler,10310,0,0
1527462191549,msnl.unist.smartpushscheduler,10310,0,0
1527462191625,msnl.unist.smartpushscheduler,10310,0,0
1527462193042,msnl.unist.smartpushscheduler,10310,0,0
1527462193079,msnl.unist.smartpushscheduler,10310,0,0
1527462227373,msnl.unist.smartpushscheduler,10310,0,0
1527462227389,msnl.unist.smartpushscheduler,10310,0,0
1527462237355,msnl.unist.smartpushscheduler,10310,0,0
1527462237392,msnl.unist.smartpushscheduler,10310,0,0
1527462238018,msnl.unist.smartpushscheduler,10310,0,0
1527462239537,msnl.unist.smartpushscheduler,10310,0,0
1527462247332,msnl.unist.smartpushscheduler,10310,0,0
1527462247348,msnl.unist.smartpushscheduler,10310,0,0
1527462247551,msnl.unist.smartpushscheduler,10310,0,0
